,SPFfor_Step1,SPFfor_Step2,SPFfor_Step3,SPFfor_Step4,SPFfor_Step5,NCfor_Step1,NCfor_Step2,NCfor_Step3,NCfor_Step4,NCfor_Step5,Realiz1
1987:01,2.804387462,2.971176691,3.161812201,3.319221003,2.763222545,0.875978607,3.25027917,2.129700389,2.495977063,3.487376832,3.335808795
1987:02,4.195239062,3.313433054,2.77400108,2.960827802,3.291906844,3.335808795,0.875978607,3.25027917,2.129700389,2.495977063,3.963075936
1987:03,3.807452134,3.800874828,3.636781754,3.452424529,2.589980388,3.963075936,3.335808795,0.875978607,3.25027917,2.129700389,2.233957188
1987:04,3.439068462,4.119636352,4.112577947,3.952265921,3.249682685,2.233957188,3.963075936,3.335808795,0.875978607,3.25027917,2.452662222
1988:01,3.239985762,3.409755105,4.250209538,4.070730217,3.913601432,2.452662222,2.233957188,3.963075936,3.335808795,0.875978607,2.405780247
1988:02,3.56426091,3.385228791,3.380937195,4.205529569,3.689342179,2.405780247,2.452662222,2.233957188,3.963075936,3.335808795,3.950249843
1988:03,4.381994569,3.703314052,4.038199854,3.692437922,3.992856726,3.950249843,2.405780247,2.452662222,2.233957188,3.963075936,4.09810007
1988:04,4.320114453,3.996180531,4.517178894,3.997844509,3.996180531,4.09810007,3.950249843,2.405780247,2.452662222,2.233957188,4.67343849
1989:01,4.266947653,4.608305933,4.124024742,3.963189414,3.624016914,4.67343849,4.09810007,3.950249843,2.405780247,2.452662222,3.937857168
1989:02,4.879146404,3.892491981,4.555827545,4.580043103,3.592947358,3.937857168,4.67343849,4.09810007,3.950249843,2.405780247,4.798083577
1989:03,4.19129457,4.493688483,5.164406616,4.832002588,4.035823432,4.798083577,3.937857168,4.67343849,4.09810007,3.950249843,3.035389629
1989:04,3.839566022,4.472159761,4.121540833,4.450836309,3.484823499,3.035389629,4.798083577,3.937857168,4.67343849,4.09810007,3.790093813
1990:01,4.124809757,4.124809757,4.102035569,5.038395057,4.721746468,3.790093813,3.035389629,4.798083577,3.937857168,4.67343849,5.570096613
1990:02,4.069933796,3.764296782,3.764296782,3.74374729,4.659421645,5.570096613,3.790093813,3.035389629,4.798083577,3.937857168,4.516869349
1990:03,4.347197748,3.714777019,4.044611845,4.36073653,4.96800906,4.516869349,5.570096613,3.790093813,3.035389629,4.798083577,3.472648627
1990:04,4.776667654,4.612860383,3.991835128,3.691921604,3.689084435,3.472648627,4.516869349,5.570096613,3.790093813,3.035389629,2.496946103
1991:01,4.274211733,4.720308766,4.56027882,4.570699029,4.588172254,2.496946103,3.472648627,4.516869349,5.570096613,3.790093813,5.523276503
1991:02,3.3017871,3.922585349,4.359449062,3.899058226,2.996047652,5.523276503,2.496946103,3.472648627,4.516869349,5.570096613,4.16192271
1991:03,3.272322655,3.576399955,3.88449654,4.010647855,4.465266598,4.16192271,5.523276503,2.496946103,3.472648627,4.516869349,1.813767468
1991:04,2.655702126,3.245771758,3.245771758,2.949654902,3.97083853,1.813767468,4.16192271,5.523276503,2.496946103,3.472648627,1.632273783
1992:01,2.901270362,3.231470236,3.219648216,3.219648216,3.224366629,1.632273783,1.813767468,4.16192271,5.523276503,2.496946103,2.903529992
1992:02,2.999490076,2.997425237,2.911018174,3.78277877,3.48804618,2.903529992,1.632273783,1.813767468,4.16192271,5.523276503,2.290278124
1992:03,2.401410361,2.765502559,2.954625386,3.182392256,3.164085721,2.290278124,2.903529992,1.632273783,1.813767468,4.16192271,1.773945143
1992:04,2.666520477,2.753677274,3.021189335,3.143443464,3.447960996,1.773945143,2.290278124,2.903529992,1.632273783,1.813767468,1.837965748
1993:01,2.799669827,2.648863306,3.046245983,3.504781021,3.906547006,1.837965748,1.773945143,2.290278124,2.903529992,1.632273783,3.30255727
1993:02,2.69898584,2.500610365,2.631438428,2.697611341,3.139609065,3.30255727,1.837965748,1.773945143,2.290278124,2.903529992,2.420656154
1993:03,2.61210744,2.542456995,2.898743342,2.703356618,2.666357315,2.420656154,3.30255727,1.837965748,1.773945143,2.290278124,1.526486933
1993:04,2.595161215,2.923071976,2.923071976,2.976632027,2.84270506,1.526486933,2.420656154,3.30255727,1.837965748,1.773945143,1.427948854
1994:01,2.799127137,2.578433441,3.228151329,2.576357619,2.745651087,1.427948854,1.526486933,2.420656154,3.30255727,1.837965748,2.532046211
1994:02,2.699944701,2.682312809,2.885586479,3.202309502,2.982066076,2.532046211,1.427948854,1.526486933,2.420656154,3.30255727,2.973828155
1994:03,2.890219507,2.746347332,2.487324439,2.998492577,2.855830096,2.973828155,2.532046211,1.427948854,1.526486933,2.420656154,1.743919283
1994:04,2.878664719,3.111366945,2.855830096,2.920443101,2.870757789,1.743919283,2.973828155,2.532046211,1.427948854,1.526486933,1.389130666
1995:01,2.864920338,3.179403044,2.927311528,2.835586459,2.962996184,1.389130666,1.743919283,2.973828155,2.532046211,1.427948854,2.182908987
1995:02,2.851306572,2.525526855,2.994867105,3.144414924,3.132105045,2.182908987,1.389130666,1.743919283,2.973828155,2.532046211,1.451284513
1995:03,2.501249401,2.831126784,2.826681114,3.130879356,3.023669102,1.451284513,2.182908987,1.389130666,1.743919283,2.973828155,0.589265253
1995:04,2.049866135,2.498361215,2.811230611,2.964496115,3.106565444,0.589265253,1.451284513,2.182908987,1.389130666,1.743919283,#N/A
1996:01,2.498652793,2.338922356,2.523731865,3.105359656,3.256179608,#N/A,0.589265253,1.451284513,2.182908987,1.389130666,2.605726735
1996:02,2.588862928,2.261269425,2.31120724,2.789449173,2.997316593,2.605726735,#N/A,0.589265253,1.451284513,2.182908987,2.220081959
1996:03,2.579324104,2.386858516,2.252263287,2.319766249,2.45953159,2.220081959,2.605726735,#N/A,0.589265253,1.451284513,1.837342886
1996:04,2.197720164,2.193702692,2.398480607,2.530999599,2.432061007,1.837342886,2.220081959,2.605726735,#N/A,0.589265253,1.827271175
1997:01,2.185711649,2.553451131,2.916855374,2.752614175,2.405077186,1.827271175,1.837342886,2.220081959,2.605726735,#N/A,2.737942472
1997:02,2.207562193,2.539556176,2.537255038,2.530376577,2.471573298,2.737942472,1.827271175,1.837342886,2.220081959,2.605726735,1.402919357
1997:03,2.001114646,2.35882453,2.523535309,2.566714476,2.380388741,1.402919357,2.737942472,1.827271175,1.837342886,2.220081959,1.39676446
1997:04,1.931102075,2.409541338,2.583552318,2.551111698,2.602753322,1.39676446,1.402919357,2.737942472,1.827271175,1.837342886,1.535343508
1998:01,1.99889598,2.269954053,2.384343046,2.416100001,2.698561268,1.535343508,1.39676446,1.402919357,2.737942472,1.827271175,0.922961582
1998:02,1.501364673,2.049687823,2.27501225,2.548770394,2.333809799,0.922961582,1.535343508,1.39676446,1.402919357,2.737942472,0.857367608
1998:03,1.188524533,1.937384237,1.978819659,2.423913457,2.477610113,0.857367608,0.922961582,1.535343508,1.39676446,1.402919357,0.819777402
1998:04,1.413459191,1.741953929,2.063014822,2.190236698,2.218514116,0.819777402,0.857367608,0.922961582,1.535343508,1.39676446,0.853404357
1999:01,1.200878337,1.639004146,1.891721275,2.098395064,2.718236548,0.853404357,0.819777402,0.857367608,0.922961582,1.535343508,1.422452779
1999:02,1.200289302,1.31831304,1.981875444,2.23577191,2.094480505,1.422452779,0.853404357,0.819777402,0.857367608,0.922961582,1.594935546
1999:03,1.599255149,1.523310859,1.733475772,1.881513036,2.269500654,1.594935546,1.422452779,0.853404357,0.819777402,0.857367608,0.963802012
1999:04,1.619244205,1.642416154,1.939551212,1.796916095,1.908055925,0.963802012,1.594935546,1.422452779,0.853404357,0.819777402,2.04596957
2000:01,1.764945431,1.778921013,2.059229347,1.753575072,1.330630406,2.04596957,0.963802012,1.594935546,1.422452779,0.853404357,2.689313114
2000:02,2.440307273,1.707216812,1.701755876,1.788697594,1.745921242,2.689313114,2.04596957,0.963802012,1.594935546,1.422452779,2.509860886
2000:03,2.151373844,2.05890075,2.165754373,1.874770374,1.980051975,2.509860886,2.689313114,2.04596957,0.963802012,1.594935546,1.999843795
2000:04,2.14127184,2.253432719,2.093893803,2.01284662,1.896580676,1.999843795,2.509860886,2.689313114,2.04596957,0.963802012,2.067697981
2001:01,2.358897004,2.242903476,2.580150775,2.476198366,2.067319667,2.067697981,1.999843795,2.509860886,2.689313114,2.04596957,3.154984272
2001:02,2.265988589,1.895241594,2.37290112,2.3013164,2.231626611,3.154984272,2.067697981,1.999843795,2.509860886,2.689313114,2.264726709
2001:03,1.852378652,1.844119269,2.384448534,2.448451131,2.362611593,2.264726709,3.154984272,2.067697981,1.999843795,2.509860886,2.141133165
2001:04,1.46517707,1.973209649,2.205799415,1.991823273,1.974379181,2.141133165,2.264726709,3.154984272,2.067697981,1.999843795,-0.327376618
2002:01,1.668808407,1.827271175,2.125529185,2.193702692,2.216286799,-0.327376618,2.141133165,2.264726709,3.154984272,2.067697981,0.803869165
2002:02,1.64613124,1.478245736,1.709129923,2.048349396,2.0351883,0.803869165,-0.327376618,2.141133165,2.264726709,3.154984272,1.167231857
2002:03,1.602882471,1.703543094,1.604501429,1.228975285,2.209286587,1.167231857,0.803869165,-0.327376618,2.141133165,2.264726709,1.127107905
2002:04,1.700419727,1.815659512,2.043646734,1.806036314,2.187934695,1.127107905,1.167231857,0.803869165,-0.327376618,2.141133165,1.744778926
2003:01,1.999720773,1.962909477,1.80745541,2.169902948,2.24569149,1.744778926,1.127107905,1.167231857,0.803869165,-0.327376618,2.54070831
2003:02,1.653748883,1.750316374,1.837210514,2.162084041,1.796093437,2.54070831,1.744778926,1.127107905,1.167231857,0.803869165,0.968646237
2003:03,1.401619561,1.697381071,1.602011007,1.897424186,1.789664785,0.968646237,2.54070831,1.744778926,1.127107905,1.167231857,1.758672934
2003:04,1.535343508,1.497304949,1.695591442,1.915582525,2.003553938,1.758672934,0.968646237,2.54070831,1.744778926,1.127107905,1.096384272
2004:01,1.401440711,1.780107631,1.853783127,1.867211454,2.096433842,1.096384272,1.758672934,0.968646237,2.54070831,1.744778926,2.480637819
2004:02,2.166655231,1.400341997,1.727630472,1.7737927,1.838951016,2.480637819,1.096384272,1.758672934,0.968646237,2.54070831,3.194664541
2004:03,1.989525421,1.683164509,1.505147594,1.702446035,1.765961763,3.194664541,2.480637819,1.096384272,1.758672934,0.968646237,1.266965146
2004:04,1.799875989,2.248833595,1.775579144,1.642830152,1.810187163,1.266965146,3.194664541,2.480637819,1.096384272,1.758672934,2.004745501
2005:01,2.002209861,2.197801477,2.072641993,1.988463348,1.726336905,2.004745501,1.266965146,3.194664541,2.480637819,1.096384272,3.260104244
2005:02,2.420798325,1.921900093,2.000434522,2.213623359,1.885519796,3.260104244,2.004745501,1.266965146,3.194664541,2.480637819,2.408106311
2005:03,2.116768388,2.082922057,1.979024298,2.001538888,2.076355242,2.408106311,3.260104244,2.004745501,1.266965146,3.194664541,3.120363192
2005:04,2.624082651,2.181695445,2.271230884,1.89596643,1.797315397,3.120363192,2.408106311,3.260104244,2.004745501,1.266965146,3.018466381
2006:01,2.455947955,2.563778267,2.436785291,2.19117619,2.113346607,3.018466381,3.120363192,2.408106311,3.260104244,2.004745501,3.259333831
2006:02,2.657803266,2.139656192,2.012021882,1.947373763,2.379924839,3.259333831,3.018466381,3.120363192,2.408106311,3.260104244,3.303703106
2006:03,2.782430566,2.380269612,2.195600233,2.198817954,2.415633325,3.303703106,3.259333831,3.018466381,3.120363192,2.408106311,1.827674336
2006:04,2.17678396,2.392908822,2.162596546,2.035647094,1.976916328,1.827674336,3.303703106,3.259333831,3.018466381,3.120363192,1.54433964
2007:01,2.419456796,2.478576095,2.59107148,2.29407544,2.393670293,1.54433964,1.827674336,3.303703106,3.259333831,3.018466381,3.967737471
2007:02,2.530654709,2.158927692,2.142713542,2.332723468,2.205668449,3.967737471,1.54433964,1.827674336,3.303703106,3.259333831,2.694597467
2007:03,2.136022925,2.284784901,2.075505903,2.298545277,2.250729001,2.694597467,3.967737471,1.54433964,1.827674336,3.303703106,0.768559229
2007:04,2.154804818,2.10236183,2.144534834,2.098978592,2.1597413,0.768559229,2.694597467,3.967737471,1.54433964,1.827674336,2.561013498
2008:01,2.359229832,2.458221544,2.61161811,2.380973153,2.191453435,2.561013498,0.768559229,2.694597467,3.967737471,1.54433964,2.602998954
2008:02,2.559562317,2.241757505,2.052375575,2.195488679,2.358799409,2.602998954,2.561013498,0.768559229,2.694597467,3.967737471,1.056680585
2008:03,2.599890209,2.37315444,2.384379808,2.234499768,2.160559679,1.056680585,2.602998954,2.561013498,0.768559229,2.694597467,4.170240941
2008:04,2.599971727,2.400152419,2.260766301,1.940284318,2.225408769,4.170240941,1.056680585,2.602998954,2.561013498,0.768559229,-0.068200914
2009:01,0.618764693,2.021384959,2.399689952,2.425993929,2.412618475,-0.068200914,4.170240941,1.056680585,2.602998954,2.561013498,2.898743342
2009:02,0.849459651,1.081078746,1.891047771,2.400134741,2.50676813,2.898743342,-0.068200914,4.170240941,1.056680585,2.602998954,0.237305203
2009:03,1.599960187,1.12027859,1.399482501,1.930756854,1.712495972,0.237305203,2.898743342,-0.068200914,4.170240941,1.056680585,0.78291116
2009:04,1.284745645,1.185266265,1.580110773,0.975317619,1.92148233,0.78291116,0.237305203,2.898743342,-0.068200914,4.170240941,0.624618558
2010:01,1.500225383,1.469086581,1.603158421,1.41312498,1.557051217,0.624618558,0.78291116,0.237305203,2.898743342,-0.068200914,0.85439173
2010:02,1.299915344,1.207898191,1.236530984,0.713692786,1.765481074,0.85439173,0.624618558,0.78291116,0.237305203,2.898743342,1.831303348
2010:03,1.363425197,1.39991676,1.457958572,1.383055095,2.3353267,1.831303348,0.85439173,0.624618558,0.78291116,0.237305203,2.274659081
2010:04,1.411423561,1.143140672,1.774296722,1.573579235,1.83856336,2.274659081,1.831303348,0.85439173,0.624618558,0.78291116,0.335375042
2011:01,1.592873009,1.288692537,1.589595566,1.765005701,1.888259514,0.335375042,2.274659081,1.831303348,0.85439173,0.624618558,1.895192443
2011:02,2.057044609,1.079709492,1.599745947,1.666388845,1.684449261,1.895192443,0.335375042,2.274659081,1.831303348,0.85439173,2.329898326
2011:03,1.890108851,1.946708357,1.709302289,1.700102849,1.612138719,2.329898326,1.895192443,0.335375042,2.274659081,1.831303348,2.520584805
2011:04,1.782263916,1.63642745,1.409845459,1.449182377,1.500166426,2.520584805,2.329898326,1.895192443,0.335375042,2.274659081,0.436523004
2012:01,1.624690826,1.932598218,1.849718749,1.856280604,1.776365613,0.436523004,2.520584805,2.329898326,1.895192443,0.335375042,1.523607433
2012:02,1.800129468,1.623426984,1.922246184,1.947441805,1.87980447,1.523607433,0.436523004,2.520584805,2.329898326,1.895192443,1.558658398
2012:03,1.703605821,2.045738323,2.06911908,1.445552282,2.116505796,1.558658398,1.523607433,0.436523004,2.520584805,2.329898326,2.831845137
2012:04,1.726586585,1.912525958,1.654315794,1.572096778,2.422780817,2.831845137,1.558658398,1.523607433,0.436523004,2.520584805,0.59541675
2013:01,1.713959606,1.773495006,1.783955282,2.1448933,1.729100119,0.59541675,2.831845137,1.558658398,1.523607433,0.436523004,1.169760362
2013:02,1.698741577,1.879271153,1.956879737,1.713478544,1.905859243,1.169760362,0.59541675,2.831845137,1.558658398,1.523607433,0.749308437
2013:03,1.700157868,1.722743932,2.104997019,2.104332871,2.025522307,0.749308437,1.169760362,0.59541675,2.831845137,1.558658398,1.904852971
2013:04,1.700054157,1.799362482,1.918400717,1.748345595,2.13875541,1.904852971,0.749308437,1.169760362,0.59541675,2.831845137,1.27710259
2014:01,1.742537448,1.700044329,1.896929451,2.015554285,1.973143718,1.27710259,1.904852971,0.749308437,1.169760362,0.59541675,1.317395283
2014:02,1.599830447,1.598956733,1.776846784,1.572475315,1.816894781,1.317395283,1.27710259,1.904852971,0.749308437,1.169760362,1.983120049
2014:03,1.793119175,1.749636611,1.861802322,1.777616679,1.984236759,1.983120049,1.317395283,1.27710259,1.904852971,0.749308437,1.310648393
2014:04,1.615067555,1.88583594,1.761466475,1.851306494,1.972319173,1.310648393,1.983120049,1.317395283,1.27710259,1.904852971,-0.018407646
2015:01,0.632200208,1.713301404,1.97061407,2.111722683,2.045113971,-0.018407646,1.310648393,1.983120049,1.317395283,1.27710259,-0.055196014
2015:02,1.568356519,1.616898417,2.071975141,2.013479522,1.877969449,-0.055196014,-0.018407646,1.310648393,1.983120049,1.317395283,2.020408729
2015:03,1.752787043,1.776064421,1.903069379,1.831974086,1.994193021,2.020408729,-0.055196014,-0.018407646,1.310648393,1.983120049,1.242010651
2015:04,1.400129557,1.604297604,1.717919383,1.55041411,1.844524969,1.242010651,2.020408729,-0.055196014,-0.018407646,1.310648393,0.783791737
2016:01,1.098638606,1.717792078,1.800842021,1.910625684,2.013067602,0.783791737,1.242010651,2.020408729,-0.055196014,-0.018407646,0.741943157
